Question,Answer,clean_question
How do I refill my T126120-BCS ink cartridges? It does not have a removable rubber plug.,"it does. Please read the instructions if you have already bought a set. Otherwise, I guarantee you there will be a plug on each cartridge where you can inject ink.",how do i refill my t126120bcs ink cartridges it does not have a removable rubber plug
Does this come with antenna cable?,go to this link on e bay you can buy much cheaper used but much cheaper and comes with coax cable http://www.ebay.com/itm/311154604620?_trksid=p2059210.m2749.l2649&ssPageName;=STRK%3AMEBIDX%3AIT,does this come with antenna cable
do these break down to put in a backpack?,"These break down into 2 pieces where each piece would be about 46 to 50 inches. So no, they wouldn't fit in a backpack. There are other paddle models though thatdo break down into 4 pieces (AirKayaks.com has them). What I like about these paddles is that, for an inexpensive model, the connections are very good with no wobble.",do these break down to put in a backpack
I have a 115 lb olde engllish bulldog. What size crate would be optimal for his size?,"Even though he is heavy, I think 48x30 should be fine. Our Golden can stretch out in that size & she is long. I'd go more by his length than weight. Great crate!",i have a 115 lb olde engllish bulldog what size crate would be optimal for his size
I need 33'. Can I put three together? Strong enough to handle it's own weight? --SN,"I couldn't say for sure, but I wouldn't try it. The 11' alone makes it a little flimsy in the middle. I don't even know if you can unscrew the one end for connecting to another. Sorry I can't be more helpful.",i need 33 can i put three together strong enough to handle its own weight sn
"It is compatible for iphone 5, or who needs for the iphone 5",This cable does not support the iphone5. The connector for the Iphone5 is different. http://img.gawkerassets.com/img/184dddyc0qvoajpg/original.jpgThis Pioneer cable is for the iphone 4/4s and most ipods.,it is compatible for iphone 5 or who needs for the iphone 5
Is this Mac compatible?,"It is not. System minimum requirements per the manual are, Pentium4, 2.0GHz, Windows XP,Vista and 7",is this mac compatible
Bike Peddler Mirror Can anyone tell me how to attach the bloody thing???,Here is a very helpful video on hot to attach/use this mirror: https://www.youtube.com/watch?v=2Op5lJp5gOo,bike peddler mirror can anyone tell me how to attach the bloody thing
"Is it water soluble ? When i think at wax i think at grease, grease is not water soluble.","Looks like it is. The first ingredient is water, which implies that it should wash out with just water.",is it water soluble when i think at wax i think at grease grease is not water soluble
what r the ingred. in both prods?,"You can view the label on linef.....supposed to be all natural....the only thing that I didnt like was the stevia. Although it is supposed to be in a natural form, I dont tolerate artificial sweeteners and it made me sick.",what r the ingred in both prods
Is this white or an off white?,more white in my opinion.It matches all my daughters other white wooden furniture,is this white or an off white
is this drill variable speed w/ reverse,"Yes. Reversable and variable speed controlled by squeezing the trigger only, no set speeds",is this drill variable speed w reverse
Is this oil edible? I'd like to add it to smoothies and use in cooking.,I don't know i bought to use on my hair after I read online somewhere that is supposed to be good for hair,is this oil edible id like to add it to smoothies and use in cooking
